,Ideology_1,Ideology_2,Ideology_3,Ideology_4,Ideology_5,Ideology_6,Ideology_7,Ideology_8,Ideology_9,Ideology_10
C002_oppose,2.9948232288748767e-06,5.381490992879868e-07,1.281983144150781e-06,1.150315432730674e-06,6.240699240135682e-06,2.901275738990128e-07,4.293341575890121e-07,0.39162226281344914,4.659281593797112e-06,1.0384506311408561e-06
E036_oppose,2.9953256501940985e-06,0.014832500982625117,0.03139010259225003,0.014354002102131686,6.2413214989531295e-06,0.016585847179958823,0.012935681840228443,4.650261977726924e-06,0.0072415847590851885,0.06161890533122003
E037_oppose,0.0011108164965996153,0.011204775265939501,0.033214571412774695,0.01677465320572026,0.08915574450320185,0.015494043748616137,0.018411882928404295,0.006095878709239047,0.02106811453463436,0.00013039602828841544
E039_oppose,0.024381953478376715,0.05084557852588946,0.04481179208485083,0.048680583139254906,6.240531452215074e-06,0.04935819771852332,0.04289241028885548,0.0327783186635746,0.013825171314363421,0.044687391813969975
F114A_oppose,0.024013238379649512,0.04830192259134176,0.056394626160044016,0.04786211297082116,0.0054962526935336,0.05122467355637844,0.05077027563816044,0.049028164569899335,4.659655238822705e-06,0.05298619578610519
F115_oppose,0.0157428194560558,0.05053019628143813,0.055487572072814316,0.048396011854782074,0.008820336281211953,0.05260230724869532,0.05210941211756529,0.05263392920273364,4.659639757319652e-06,0.05091734638097392
F116_oppose,0.01931404868479829,0.053020760703325225,0.055224630921788816,0.049843235274484164,0.018827026482133278,0.0536102968797945,0.05500817328961534,0.05019055815917451,4.659782996630896e-06,0.0538396942082667
F117_oppose,0.0257240800954269,0.05400275731229824,0.05936230944291531,0.05227573053558821,0.0239091776437712,0.055446671846186894,0.05622917665353113,0.05055584562091047,4.660334761797978e-06,0.05848168385078554
F118_oppose,3.0042496090557744e-06,0.054800173765086016,1.2819521249711687e-06,0.0528528877938389,0.0028487355043809452,0.05758769714027978,0.05218067085780984,4.650109304918498e-06,0.0007875797150009743,0.048742467802578154
F119_oppose,2.995261064369794e-06,0.05482057983347872,0.019644796799965378,0.051068576092389566,0.02280405534313674,0.05604192006307119,0.054983703238589754,0.07592579256535195,0.0001470038178507861,0.05555045824446169
F120_oppose,2.9950471622801903e-06,0.05316124240297183,1.2868171766055707e-06,1.1505189676227506e-06,0.03539496456739096,0.05749405591749366,0.058745277977462554,4.651584447482308e-06,0.0006021444266586653,0.05087321977720906
F121_oppose,2.994868833725439e-06,0.03223943634633673,1.2819459238662945e-06,1.1502966901873142e-06,0.00013308743445259648,0.041308087811185584,0.046636693388569246,4.649755048700224e-06,4.66011821276644e-06,1.0391340498899945e-06
F122_oppose,2.994867501583523e-06,0.04943404204885957,0.013126263312149564,0.04522291531898424,0.004359032074475062,0.05709512664109539,0.06120466558456711,0.0023219624450608305,5.266912078840373e-06,1.0387011973803389e-06
F123_oppose,2.9950258975091603e-06,0.05434238370676344,0.04763675465971131,0.051855286578793805,0.025291521832483364,0.057039867087993766,0.058164916410131745,0.018597061014384283,0.001357209241233046,0.05267751680891345
