country,year,wave,polarization_score,polarization_zscore
ESP,2011,6,0.3621588074440976,-0.6221013622510826
HKG,2005,5,0.5579457928046686,1.2940767924217547
HKG,2014,6,0.5216256156196136,0.9386091908971801
HKG,2018,7,0.5384082940541232,1.1028622015550706
IDN,2001,4,0.5913035368202957,1.6205508951523118
IDN,2006,5,0.4310598067217948,0.052236563775540396
IDN,2018,7,0.33193388277563873,-0.9179143871550182
IND,2001,4,0.6309060916762832,2.0081433101666266
IND,2006,5,0.5931988694647041,1.6391006215417614
IND,2012,6,0.4498156178582276,0.23580073432862478
IND,2023,7,0.40183530329062517,-0.2337852826349215
IRN,2000,4,0.26226256867813497,-1.5997914273225313
IRN,2007,5,0.29747876221344904,-1.255128575403012
IRN,2020,7,0.32955350959476,-0.9412112323501611
IRQ,2004,4,0.20176760759648374,-2.1918589882942743
IRQ,2006,5,0.0014328559632198555,-4.152546385337043
IRQ,2013,6,0.31235426928042886,-1.1095411573786036
IRQ,2018,7,0.41773197102822024,-0.0782037081253904
JOR,2001,4,0.46173099374453935,0.3524171832515068
JOR,2007,5,0.3516949600860487,-0.7245116204426483
JOR,2014,6,0.45580468424975507,0.29441606141584264
JOR,2018,7,0.19812544568509746,-2.227505030228711
JPN,2000,4,0.45102934294844266,0.2476795295374343
JPN,2005,5,0.4763052016997337,0.49505577005017065
JPN,2010,6,0.4888617992158665,0.6179478908574932
JPN,2019,7,0.4660851547355951,0.3950315999228913
KGZ,2003,4,0.5262098294484625,0.9834751475337359
KGZ,2011,6,0.43466954787881257,0.08756530197722637
KGZ,2020,7,0.35101726042663856,-0.7311443048389039
KOR,2001,4,0.48721894026450485,0.6018691385951284
KOR,2005,5,0.43624960161346216,0.103029376077805
KOR,2010,6,0.4999279505685617,0.726252931865639
KOR,2018,7,0.3807075040778672,-0.4405642328968213
MAR,2001,4,0.499571012602396,0.7227595600662803
MAR,2007,5,0.43626637536652235,0.10319354173532626
MAR,2011,6,0.40307696535573245,-0.22163306669338276
MAR,2021,7,0.37473052704943605,-0.4990612407125798
MEX,2000,4,0.5006461524890866,0.7332820141522854
MEX,2005,5,0.4897831519493205,0.6269652214902791
MEX,2012,6,0.4099520474657832,-0.15434625431104
MEX,2018,7,0.381958902592516,-0.4283167257801248
MYS,2006,5,0.6142049057466943,1.8446878712033554
MYS,2012,6,0.4737542941988396,0.47008989594570716
MYS,2018,7,0.5105991672652923,0.8306927253503655
NGA,2000,4,0.5386609088190927,1.1053345563609374
NGA,2012,6,0.34552866013429645,-0.7848615422770718
NGA,2018,7,0.2803757792036828,-1.4225164248185365
NLD,2006,5,0.38793856197518845,-0.3697934656136762
NLD,2012,6,0.3147434693480593,-1.0861579229500997
NLD,2022,7,0.35222888996228313,-0.7192860189396508
NZL,2004,5,0.4884436226222789,0.6138551731931793
NZL,2011,6,0.46808979961164743,0.41465117122531514
NZL,2020,7,0.3797840640283222,-0.4496019922087047
PAK,2001,4,0.18319612661725584,-2.373619109309372
PAK,2012,6,0.323771582052225,-0.9977992799596728
PAK,2018,7,0.38199238201789865,-0.42798906077506316
PER,2001,4,0.2978187084956089,-1.2518015021635047
PER,2006,5,0.16962800848534917,-2.506411038846972
PER,2012,6,0.34536088600798676,-0.7865035570165189
PER,2018,7,0.31482004517869866,-1.0854084710211227
PHL,2001,4,0.5713639442950545,1.4254009900675615
PHL,2012,6,0.5011606503997882,0.7383174339239089
PHL,2019,7,0.3371813473332393,-0.8665571586131096
ROU,2005,5,0.4935049231332339,0.6633904038187771
ROU,2012,6,0.4440733090956338,0.1796004379299421
ROU,2018,7,0.4123212312801119,-0.13115892007091945
RUS,2006,5,0.48340301812924796,0.5645224956502684
RUS,2011,6,0.4640741622279868,0.37534990399610085
RUS,2017,7,0.4751534936879512,0.48378393944981124
SGP,2002,4,0.6606639168080221,2.2993848058309023
SGP,2012,6,0.4375682269457059,0.11593483581094483
SGP,2020,7,0.5719033571742747,1.4306802540268444
SRB,2001,4,0.5024793679939927,0.7512237966300092
SRB,2006,5,0.543853798706684,1.1561576595610747
SRB,2017,7,0.4628682846867492,0.3635479131871883
SWE,1999,4,0.3448651703958164,-0.7913551533839781
SWE,2006,5,0.25992078968637516,-1.622710549034416
SWE,2011,6,0.3037432129838905,-1.1938180460272387
THA,2007,5,0.4225554286885855,-0.030996258755047496
THA,2013,6,0.4487625294752243,0.22549409954013594
THA,2018,7,0.4521543766060255,0.25869029674426225
TUR,2001,4,0.42949541533186236,0.03692577791699035
TUR,2007,5,0.4095675130822487,-0.1581097137876357
TUR,2011,6,0.4166525767304515,-0.0887678003701013
TUR,2018,7,0.4383106539765934,0.12320101060497049
TWN,2006,5,0.44616241545045954,0.20004663843981235
TWN,2012,6,0.5091827448267106,0.8168301198784015
TWN,2019,7,0.5346308761495294,1.0658924016650404
UKR,2006,5,0.5059682085915757,0.785369274307763
UKR,2011,6,0.43747022063696306,0.11497564259650665
UKR,2020,7,0.41504004261109206,-0.10454976180890985
URY,2006,5,0.4668463754790769,0.40248170983115417
URY,2011,6,0.4042824472022891,-0.2098349485704008
URY,2022,7,0.4205187118138138,-0.05092972049921616
USA,1999,4,0.48089532107328065,0.5399795245823372
USA,2006,5,0.5279913919964956,1.0009113996392436
USA,2011,6,0.452284016595961,0.2599590905623447
USA,2017,7,0.46697375856403495,0.40372841519423985
VNM,2001,4,0.6145607475642837,1.8481705149354102
VNM,2006,5,0.17356662703675738,-2.4678635592282503
VNM,2020,7,0.4068436089351421,-0.18476871572535877
ZAF,2001,4,0.49238178860116655,0.6523982234593793
ZAF,2006,5,0.45570133594909495,0.29340458582831697
ZAF,2013,6,0.631189789074155,2.0109198724357595
ZWE,2001,4,0.45233781881702,0.26048565590312184
ZWE,2012,6,0.2930874310797541,-1.2981067783352662
ZWE,2020,7,0.32521263224000857,-0.9836956413315346
