country,wave,mean,ci_low,ci_high
EGY,5,0.574937952196359,0.5004490279073397,0.6447171567048312
EGY,6,0.3543349462126864,0.3147100166251973,0.399259805609924
EGY,7,0.15750550198435645,0.09892320703379825,0.2197952556854341
ESP,4,0.5665539976806209,0.5046614427008445,0.6256135169147453
ESP,5,0.492319132342946,0.42773908498688235,0.5521741425196872
ESP,6,0.3657750522177513,0.3015492216118871,0.428515634125213
HKG,5,0.5644603906534942,0.5093788233191588,0.6199678366750582
HKG,6,0.5327829887665462,0.4702162114647707,0.5949750346525055
HKG,7,0.5433096087668026,0.4962958774220494,0.5890981922382761
IDN,4,0.5925325509911634,0.5381133741238567,0.6487747722260668
IDN,5,0.4334685340671087,0.37022431442288745,0.4968174421751638
IDN,7,0.3343081258999982,0.2754422263607163,0.3865152860859922
IND,4,0.6342677565977451,0.5726207775349094,0.7017881050114902
IND,5,0.598084662376109,0.5244968007039305,0.6663096438318149
IND,6,0.4510607950989852,0.38029516739363023,0.5229581832424551
IND,7,0.41354190059345475,0.35705743491866354,0.471696592504378
IRN,4,0.2691812053598677,0.1798470141219644,0.34946817851680334
IRN,5,0.29770068137617756,0.21524505811950803,0.37806583756448864
IRN,7,0.3370339460366698,0.2894582607922286,0.3869253482965024
IRQ,4,0.20303095232447202,0.17053170187447433,0.23602821779726585
IRQ,5,0.001560106502099619,0.0,0.011700794930319548
IRQ,6,0.3161754501883392,0.25159268220040315,0.37912458578722874
IRQ,7,0.42360703914741366,0.3640153209765384,0.479792925925715
JOR,4,0.456857392441613,0.3514440428457701,0.5659634219325903
JOR,5,0.3519619590568665,0.30342787347648076,0.40397631627184843
JOR,6,0.4587868134372271,0.3966205235392038,0.5181404456786424
JOR,7,0.1989815794250178,0.1275844532026662,0.2612537761876742
JPN,4,0.45250564882067523,0.40067094485115173,0.5038649631771864
JPN,5,0.47710760797447177,0.4196210278557009,0.5326304359192826
JPN,6,0.4900974437076456,0.43728590859419336,0.5422957354510078
JPN,7,0.47546123059344747,0.40143005202003224,0.5415058675055326
KGZ,4,0.5316463584591593,0.4834523333339891,0.5801122538877576
KGZ,6,0.4370592324252235,0.3770115795068073,0.4937953923026029
KGZ,7,0.3515509859625999,0.2948080181551361,0.4055604964757811
KOR,4,0.4919065950000796,0.43746205562084506,0.5448870465401873
KOR,5,0.4412802530602072,0.37702851930319786,0.5037388372122376
KOR,6,0.5103256449113527,0.4481210059860364,0.5721251566365743
KOR,7,0.38576608657949796,0.3223662082553554,0.4543419093995737
MAR,4,0.5038982590041063,0.44259390714253616,0.5629936804162274
MAR,5,0.43903423223675486,0.38430420948575383,0.48852748872764684
MAR,6,0.4058606598940219,0.3439852089904596,0.4629340198458767
MAR,7,0.3792387719339774,0.32418535799933074,0.43081931074147245
MEX,4,0.5072471335272847,0.45665239107386674,0.5604272867422756
MEX,5,0.4954543386395967,0.44377003993714526,0.5429619600159188
MEX,6,0.41890203534853776,0.37061678258150155,0.46800863141887356
MEX,7,0.39115490931483243,0.3487925105444619,0.4343970118607437
MYS,5,0.6155433201330316,0.5363388427504768,0.6917944979129023
MYS,6,0.4789821774760907,0.376458845529487,0.5794721523675327
MYS,7,0.5171488905161836,0.4628376413344208,0.5705674847908441
NGA,4,0.5415088301537929,0.4677365045342024,0.6020078787377507
NGA,6,0.3510966230429456,0.28937833487079656,0.4190020541728731
NGA,7,0.2830981657082964,0.2501898774788072,0.32149213819368344
NLD,5,0.38998598620674024,0.3071055209710702,0.47320691856889857
NLD,6,0.3220172946329526,0.2341871964367892,0.4097734362039507
NLD,7,0.35442781024809844,0.2713657446877848,0.4400706136398328
NZL,5,0.4933075917864912,0.43386756305983176,0.5557344635492077
NZL,6,0.47156247284233316,0.4098337588427388,0.5348560204610657
NZL,7,0.3836991259778721,0.2888959465641325,0.4663624619205385
PAK,4,0.18663518964377754,0.12448334256464418,0.24793587229695388
PAK,6,0.32640680147128304,0.2630764518182492,0.3826112618257445
PAK,7,0.38571424609206945,0.3063192846757857,0.46454724701844574
PER,4,0.30752186346507676,0.2707732922336336,0.3484072461221977
PER,5,0.16697843959324202,0.12581370814219972,0.20739492840612447
PER,6,0.3510428539230812,0.30726009824635575,0.39517012312838784
PER,7,0.32360805990600117,0.28213284180207904,0.36169735436831546
PHL,4,0.5786091366848434,0.5331207717846496,0.6282470366487302
PHL,6,0.5108981697622257,0.4476916521873929,0.5713057326899004
PHL,7,0.34578143633338215,0.27173090745282497,0.41029254230476575
ROU,5,0.49845235784810316,0.440854700883477,0.5585741961395668
ROU,6,0.4507251601816008,0.39486162675478065,0.5036604061231926
ROU,7,0.4230080967559897,0.37444010212682405,0.46976057139618116
RUS,5,0.4892947002064431,0.438407259023244,0.5412661487650735
RUS,6,0.47301058138020385,0.42283956113049487,0.5262255732020809
RUS,7,0.4919671844533924,0.4468513854397022,0.5417366328793501
SGP,4,0.6698375570726129,0.6013017091887124,0.7372717356479767
SGP,6,0.4454881030459274,0.3543573057404374,0.5314053791336986
SGP,7,0.5775969417217253,0.49268464485848656,0.6561855041648778
SRB,4,0.5105160143156057,0.46753737307593485,0.5580216373407786
SRB,5,0.5447447616838538,0.4931850505531763,0.6066751922997373
SRB,7,0.46667043100424827,0.41061055521746886,0.5206026677898321
SWE,4,0.34577134388870406,0.2850708034382857,0.41105827131100425
SWE,5,0.25971493229488146,0.19790410047686935,0.3201160474766565
SWE,6,0.3071146985082012,0.24436874273487164,0.36829040265590585
THA,5,0.4248163492502014,0.36790952752022277,0.4836888947571417
THA,6,0.45424584597715517,0.3942945376549135,0.5115511680217144
THA,7,0.4566151999847877,0.39568817569793796,0.5104388089425305
TUR,4,0.4260608915496917,0.3498267357596469,0.4976152398302999
TUR,5,0.4151537221257859,0.36309433278518377,0.47229816039179157
TUR,6,0.4193304375504763,0.3637316954169249,0.4783259241296436
TUR,7,0.44302849792367205,0.3717815719333216,0.5153148990721916
TWN,5,0.4525813806972882,0.40661105423331456,0.50166836305908
TWN,6,0.517134190311174,0.4642815340859331,0.5780975775420304
TWN,7,0.5372098024802241,0.4894863287168958,0.5847898008464337
UKR,5,0.5173250704959894,0.46499493240981676,0.5667725782849912
UKR,6,0.4483514971082704,0.3992807728991326,0.4959060375420419
UKR,7,0.42259308445926397,0.38099239117251055,0.46792747910676497
URY,5,0.47198140420907175,0.41728690135015684,0.5214699152809906
URY,6,0.4044366413812498,0.3477825068345992,0.4630107617238851
URY,7,0.42834922693675753,0.366605098783286,0.4908939143634075
USA,4,0.4859196050880125,0.4410766272002896,0.5395847043946804
USA,5,0.5291257081772053,0.4818375214304266,0.580978130202104
USA,6,0.45804649228726274,0.4086349344038854,0.5112444892959472
USA,7,0.4710379648889464,0.3994155078486972,0.5397074833824327
VNM,4,0.6225752124798017,0.5530012511670138,0.6877247197031876
VNM,5,0.18071768037192878,0.09512739084630437,0.27522957640459456
VNM,7,0.4139901854332415,0.36331761072363966,0.4643600374454619
ZAF,4,0.5053216442119967,0.4561577393861478,0.5584301560583639
ZAF,5,0.46197411752289586,0.385823153622354,0.5391969231364044
ZAF,6,0.6345530852410152,0.5748390939731675,0.6901036798299407
ZWE,4,0.45299954347422816,0.4020788007711146,0.5063112136578554
ZWE,6,0.2997667314084947,0.22649975043670195,0.35777848211792906
ZWE,7,0.3245754367740292,0.273406413724304,0.3831527878827672
