country,year,wave,polarization_score,polarization_zscore,mean,country_full
NGA,2000,4,0.578673828812216,0.0449844380378163,0.5837377991448214,Nigeria
NGA,2012,6,0.6158936310915326,0.3267696234746847,0.6156900517950405,Nigeria
NGA,2018,7,0.6323068331829178,0.4510313581347832,0.6366363969955644,Nigeria
NLD,2006,5,0.6404648899495078,0.5127947044719434,0.6483726072706695,Netherlands
NLD,2012,6,0.6040665492548554,0.2372286736460199,0.6079904979107584,Netherlands
NLD,2022,7,0.5158996555793748,-0.4302688132373008,0.5193327600701634,Netherlands
NZL,2004,5,0.6663951569295036,0.7091086191604706,0.679697956763148,New Zealand
NZL,2011,6,0.642178203012404,0.5257659243488397,0.6487132539264635,New Zealand
NZL,2020,7,0.5101533183628111,-0.4737734155992538,0.5171097150604185,New Zealand
PAK,2001,4,0.1912354921015281,-2.8882494017357536,0.193184867470547,Pakistan
PAK,2012,6,0.4473447561404813,-0.9492870204277642,0.4513827921512552,Pakistan
PAK,2018,7,0.4871882185638509,-0.6476385225888815,0.4911593094198627,Pakistan
PER,2001,4,0.4137894417513459,-1.2033289526383872,0.4209774255759223,Peru
PER,2006,5,0.1996224219718394,-2.824753293642106,0.2017790353056859,Peru
PER,2012,6,0.4822438404292479,-0.6850716206766527,0.4935667429375077,Peru
PER,2018,7,0.2879255547894536,-2.15622436194772,0.2970077286671903,Peru
PHL,2001,4,0.6375892297499924,0.4910235398512179,0.6390491057287964,Philippines
PHL,2012,6,0.6315134713978057,0.4450249426235278,0.6401292219130726,Philippines
PHL,2019,7,0.5418143209081759,-0.2340730161610599,0.549517510622359,Philippines
ROU,2005,5,0.6215277763905025,0.3694248387263451,0.6266323928644222,Romania
ROU,2012,6,0.5008911238454897,-0.543896012705744,0.5059396688387512,Romania
ROU,2018,7,0.5771054212883057,0.0331102748800168,0.5854129619252931,Romania
RUS,2006,5,0.6071965685764461,0.2609255506024448,0.6192448724509569,Russia
RUS,2011,6,0.6863650382287726,0.8602974047117002,0.6961231789114135,Russia
RUS,2017,7,0.6836475856892257,0.8397240050459625,0.6924291010218213,Russia
SGP,2002,4,0.6830232554975063,0.8349973007629243,0.6932492025553566,Singapore
SGP,2012,6,0.6547928124052365,0.6212691196720529,0.6629408120878671,Singapore
SGP,2020,7,0.6937674163168066,0.9163396283258116,0.7001092786763263,Singapore
SRB,2001,4,0.6784748474339191,0.8005620289142956,0.6858638307609958,Serbia
SRB,2006,5,0.6545165832579667,0.6191778328644995,0.6643512336151186,Serbia
SRB,2017,7,0.6174109761072386,0.3382572005287956,0.6242711982829284,Serbia
SWE,1999,4,0.2896022777972444,-2.143530159540869,0.2976001491158348,Sweden
SWE,2006,5,0.3735883788959115,-1.507684786300966,0.3735845125689608,Sweden
SWE,2011,6,0.3983014658700745,-1.3205859472616783,0.4081385727992297,Sweden
THA,2007,5,0.622755541408528,0.3787200518142841,0.6287854763109951,Thailand
THA,2013,6,0.6610185596429727,0.668403258824734,0.6688064118696917,Thailand
THA,2018,7,0.5833104505262091,0.0800875613610754,0.588410683993076,Thailand
TUR,2001,4,0.5256854802366919,-0.3561818958748419,0.5286565459376458,Turkey
TUR,2007,5,0.6317353772040372,0.4467049560822024,0.6378109302650007,Turkey
TUR,2011,6,0.5870675195061801,0.1085317312487952,0.5912456202509898,Turkey
TUR,2018,7,0.5556107662916837,-0.129622329088986,0.564099235990707,Turkey
TWN,2006,5,0.5438702606247412,-0.2185078245479571,0.5516057426540881,Taiwan
TWN,2012,6,0.6967787710263558,0.9391381144348592,0.7147051687746705,Taiwan
TWN,2019,7,0.6620158618445366,0.6759536746946337,0.6714112812657811,Taiwan
UKR,2006,5,0.6483225774577359,0.5722840030715081,0.6591519032157025,Ukraine
UKR,2011,6,0.6497580870956323,0.583152017535299,0.6601525636765753,Ukraine
UKR,2020,7,0.5479840917125179,-0.1873626656557695,0.5595408907605103,Ukraine
URY,2006,5,0.6646028274238116,0.6955391784005436,0.6733201078443387,Uruguay
URY,2011,6,0.687917276536884,0.8720491533161369,0.7039961053060554,Uruguay
URY,2022,7,0.5964811758025537,0.1798010213220169,0.6041149958495626,Uruguay
USA,1999,4,0.6533543234135519,0.610378548996024,0.66221379680728,United States
USA,2006,5,0.7105108668475244,1.0431016212360535,0.7179931241373213,United States
USA,2011,6,0.7039920043154091,0.9937483529498768,0.7145869035989347,United States
USA,2017,7,0.6530165344420491,0.6078212025797496,0.6587359863865374,United States
VNM,2001,4,0.3731181188964606,-1.5112450497369292,0.3769376012889428,Vietnam
VNM,2006,5,0.4172697810024823,-1.1769798593813905,0.4176438892579285,Vietnam
VNM,2020,7,0.4616932785800925,-0.8406566460359649,0.4676981982986092,Vietnam
ZAF,2001,4,0.6814290673105632,0.8229279563180543,0.6910940932367994,South Africa
ZAF,2006,5,0.6714631534015892,0.747477611960673,0.6724041073693791,South Africa
ZAF,2013,6,0.8297073441003399,1.9455191352799448,0.8373334899668362,South Africa
ZWE,2001,4,0.6481800520761927,0.5712049661447068,0.648611247652955,Zimbabwe
ZWE,2012,6,0.6175051250830668,0.3389699874053442,0.6236027009335287,Zimbabwe
ZWE,2020,7,0.7532245349468318,1.3664799883678087,0.7568023757546023,Zimbabwe
