country,iso_code,year,events,fatalities,e_participation_index,media_freedom_score,wave,polarization_score,polarization_zscore,wpf_score,enrollment_percentage,democracy_score
Peru,PER,2020,,,,,,,,0.5201315789473684,..,6.53
Peru,PER,2021,,,,,,,,0.5150657894736842,..,6.09
Peru,PER,2022,,,,,,,,0.4720394736842105,..,5.92
Peru,PER,2023,,,,,,,,0.4127631578947368,..,5.81
Peru,PER,2024,10877.0,294.0,0.7534,,,,,,,5.69
Philippines,PHL,2011,,,,,,,,,,6.12
Philippines,PHL,2013,,,,,,,,0.4400657894736842,,6.41
Philippines,PHL,2018,,,,,,,,0.4438815789473684,29.428638458252,6.71
Philippines,PHL,2019,,,,,7.0,0.5418143209081759,-0.2340730161610599,0.4348026315789474,31.2367649078369,6.64
Philippines,PHL,2020,,,,,,,,0.4372368421052632,32.8472557067871,6.56
Philippines,PHL,2021,,,,,,,,0.4234210526315789,34.8456192016602,6.62
Philippines,PHL,2022,,,,,,,,0.3410526315789474,39.5887565612793,6.73
Philippines,PHL,2023,,,,,,,,0.3698026315789474,45.2818946838379,6.66
Philippines,PHL,2024,10746.0,8958.0,0.726,60.0,,,,,,6.63
Romania,ROU,2011,,,,,,,,,,6.54
Romania,ROU,2013,,,,,,,,0.5720394736842106,,6.54
Romania,ROU,2018,,,,,7.0,0.5771054212883057,0.0331102748800168,0.5680921052631579,51.9943504333496,6.38
Romania,ROU,2019,,,,,,,,0.5548026315789474,52.4439697265625,6.49
Romania,ROU,2020,,,,,,,,0.5532236842105264,53.4911117553711,6.4
Romania,ROU,2021,,,,,,,,0.5598026315789474,55.2656097412109,6.43
Romania,ROU,2022,,,,,,,,0.5161842105263158,58.2390403747559,6.45
Romania,ROU,2023,,,,,,,,0.52,..,6.45
Romania,ROU,2024,2864.0,4.0,0.6849,,,,,,,5.99
Russia,RUS,2011,,,,,6.0,0.6863650382287726,0.8602974047117002,,,3.92
Russia,RUS,2013,,,,,,,,0.4380263157894736,,3.59
Russia,RUS,2018,,,,,,,,0.395,,2.94
Russia,RUS,2019,,,,,,,,0.3926973684210526,,3.11
Russia,RUS,2020,,,,,,,,0.4018421052631579,,3.31
Russia,RUS,2021,,,,,,,,0.4032236842105263,,3.24
Russia,RUS,2022,,,,,,,,0.3211842105263158,,2.28
Russia,RUS,2023,,,,,,,,0.2945394736842106,,2.22
Russia,RUS,2024,28838.0,5429.0,,20.0,,,,,,2.03
Russian Federation,,2024,,,0.6438,,,,,,,
Serbia,SRB,2011,,,,,,,,,,6.33
Serbia,SRB,2013,,,,,,,,0.54875,,6.67
Serbia,SRB,2018,,,,,,,,0.5290789473684211,68.3218307495117,6.41
Serbia,SRB,2019,,,,,,,,0.5185526315789474,69.0413818359375,6.41
Serbia,SRB,2020,,,,,,,,0.5156578947368421,68.5755081176758,6.22
Serbia,SRB,2021,,,,,,,,0.5129605263157895,69.2907028198242,6.36
Serbia,SRB,2022,,,,,,,,0.4704605263157894,72.0334320068359,6.33
Serbia,SRB,2023,,,,,,,,0.4549999999999999,73.2060012817383,6.33
Serbia,SRB,2024,3582.0,28.0,0.8904,70.0,,,,,,6.26
Singapore,SGP,2011,,,,,,,,,,5.89
Singapore,SGP,2013,,,,,,,,0.4379605263157894,,5.92
Singapore,SGP,2018,,,,,,,,0.3884868421052631,88.8864517211914,6.38
Singapore,SGP,2019,,,,,,,,0.3854605263157895,91.0889892578125,6.02
Singapore,SGP,2020,,,,,7.0,0.6937674163168066,0.9163396283258116,0.3603289473684211,93.1347732543945,6.03
Singapore,SGP,2021,,,,,,,,0.3605263157894736,97.0989074707031,6.23
Singapore,SGP,2022,,,,,,,,0.3567763157894736,98.0222320556641,6.22
Singapore,SGP,2023,,,,,,,,0.3807894736842105,..,6.18
Singapore,SGP,2024,31.0,0.0,0.9589,53.0,,,,,,6.18
South Africa,ZAF,2011,,,,,,,,,,7.79
South Africa,ZAF,2013,,,,,6.0,0.8297073441003399,1.9455191352799448,0.5621052631578948,,7.9
South Africa,ZAF,2018,,,,,,,,0.5895394736842106,23.3899803161621,7.24
South Africa,ZAF,2019,,,,,,,,0.5776973684210527,24.0192794799805,7.24
South Africa,ZAF,2020,,,,,,,,0.57625,25.1296806335449,7.05
South Africa,ZAF,2021,,,,,,,,0.5816447368421053,25.3566093444824,7.05
South Africa,ZAF,2022,,,,,,,,0.5628947368421052,27.1743202209473,7.05
South Africa,ZAF,2023,,,,,,,,0.5828947368421052,..,7.05
South Africa,ZAF,2024,12910.0,1711.0,0.8356,74.0,,,,,,7.16
South Korea,KOR,2011,,,,,,,,,,8.06
South Korea,KOR,2013,,,,,,,,0.5626315789473684,,8.06
South Korea,KOR,2018,,,,,7.0,0.6157402725941306,0.3256085707559074,0.5690131578947368,,8.0
South Korea,KOR,2019,,,,,,,,0.5596052631578947,,8.0
South Korea,KOR,2020,,,,,,,,0.5677631578947369,,8.01
South Korea,KOR,2021,,,,,,,,0.5695394736842104,,8.16
South Korea,KOR,2022,,,,,,,,0.5401973684210526,,8.03
South Korea,KOR,2023,,,,,,,,0.5317763157894737,,8.09
South Korea,KOR,2024,39099.0,0.0,0.9726,66.0,,,,,,7.75
